,0,1,2,3,4
0,2,4,8,16,32.0
1,2,4,8,16,32.0
2,9,108,1296,15552,186624.0
3,6,78,1038,13830,184278.0
4,64,11648,2119936,385828352,70220760064.0
5,2,4,8,16,32.0
6,3,13,83,749,8067.0
7,4,24,144,864,5184.0
8,8,104,1420,19740,276244.0
9,1,1,1,1,1.0
10,4,28,196,1372,9604.0
11,1,3,15,81,441.0
12,10,190,3610,68590,1303210.0
13,18,606,20894,726442,25351922.0
14,2,6,18,54,162.0
15,6,44,334,2608,20814.0
16,4,16,64,256,1024.0
17,19,541,16795,534781,17179723.0
18,3,33,363,3993,43923.0
19,6,36,216,1296,7776.0
20,12,170,2430,34750,496950.0
21,3,9,27,81,243.0
22,2,8,32,128,512.0
23,2,4,8,16,32.0
24,48,8424,1730256,365413800,77514268800.0
25,2,7,26,101,404.0
26,2,4,8,16,32.0
27,34,2032,121462,7260388,433989610.0
28,3,9,27,81,243.0
29,1,1,1,1,1.0
30,80,13677,2461217,450241154,82795340023.0
31,2,4,8,16,32.0
32,4,22,132,826,5302.0
33,3,10,34,116,396.0
34,6,36,216,1296,7776.0
35,2,6,18,54,162.0
36,3,18,153,1476,14760.0
37,2,4,8,16,32.0
38,3,13,79,569,4347.0
39,12,168,2352,32928,460992.0
40,4,32,252,1984,15620.0
41,3,12,48,192,768.0
42,8,80,800,8000,80000.0
43,6,46,440,5168,71562.0
44,2,6,18,54,162.0
45,4,16,64,256,1024.0
46,6,51,594,8415,129690.0
47,5,30,180,1080,6480.0
48,5,49,479,4681,45743.0
49,2,4,8,16,32.0
50,3,9,27,81,243.0
51,4,28,196,1372,9604.0
52,31,2355,189853,15607271,1295033714.0
53,6,80,1192,18782,303330.0
54,6,82,1326,22624,394706.0
55,2,6,18,54,162.0
56,1,1,1,1,1.0
57,6,77,1198,19404,319042.0
58,11,425,31137,2752611,252029187.0
59,2,10,50,250,1250.0
60,42,2992,214036,15313262,1095567688.0
61,6,48,384,3072,24576.0
62,2,4,8,16,32.0
63,1,1,1,1,1.0
64,12,204,3936,80880,1720128.0
65,2,6,18,54,162.0
66,4,25,168,1162,8192.0
67,2,4,8,16,32.0
68,69,11423,1935625,331348372,57035482343.0
69,6,96,1740,33660,686460.0
70,4,16,64,256,1024.0
71,4,32,256,2048,16384.0
72,2,8,32,128,512.0
73,6,36,216,1296,7776.0
74,1,1,1,1,1.0
75,6,65,791,10364,141633.0
76,2,6,18,54,162.0
77,6,36,216,1296,7776.0
78,10,129,1983,35517,727402.0
79,30,2274,197242,18011143,1691849294.0
80,3,12,48,192,
81,12,240,4800,96000,
82,6,36,216,1296,
83,2,6,18,54,
84,2,4,8,16,
85,1,1,1,1,
86,6,52,504,5008,
87,18,1017,71307,5316498,
88,14,1148,86996,6548192,
89,5,25,125,625,
90,21,1469,119225,10167205,
91,6,64,708,7844,
92,1,1,1,1,
93,4,20,100,500,
94,6,36,216,1296,
95,7,69,784,9491,
96,4,25,163,1066,
97,13,447,17397,699543,
98,6,78,1096,15660,
99,1,1,1,1,
100,2,6,18,54,
101,3,12,48,192,
102,2,4,8,16,
103,3,10,36,136,
104,9,143,2400,41111,
105,5,37,271,1983,
106,5,25,125,625,
107,3,24,240,2496,
108,2,6,18,54,
109,2,4,8,16,
110,4,32,256,2048,
111,9,180,3600,72000,
112,4,21,114,621,
113,8,140,2960,67100,
114,2,6,18,54,
115,1,1,1,1,
116,12,212,3805,68572,
117,3,12,48,192,
118,10,220,5360,132480,
119,3,12,48,192,
120,22,973,43465,1969954,
121,8,77,746,7229,
122,7,63,567,5103,
123,24,1396,89110,5936485,
124,2,6,18,54,
125,2,8,32,128,
126,12,156,2052,27036,
127,10,115,1435,18640,
128,4,69,1248,23285,
129,6,60,600,6000,
130,4,31,273,2537,
131,2,4,8,16,
132,18,784,39194,2095758,
133,3,15,75,375,
134,2,8,32,128,
135,4,24,144,864,
136,3,9,27,81,
137,2,6,18,54,
138,5,26,138,740,
139,10,160,2560,40960,
140,2,12,72,432,
141,1,2,4,8,
142,2,22,242,2662,
143,10,290,10400,413040,
144,17,444,11580,302004,
145,2,6,22,94,
146,2,4,8,16,
147,6,42,294,2058,
148,16,460,15064,521272,
149,7,67,663,6687,
150,2,4,8,16,
151,6,150,4086,110478,
152,4,24,144,864,
153,12,178,2726,42118,
154,15,295,5837,116109,
155,4,16,64,256,
156,2,6,18,54,
157,1,3,15,81,
158,1,4,16,64,
159,1,1,1,1,
160,7,84,1035,12891,
161,8,64,512,4096,
162,2,4,8,16,
163,3,9,27,81,
164,17,955,61050,4124249,
165,1,1,1,1,
166,5,50,500,5000,
167,10,139,1936,26965,
168,12,240,4800,96000,
169,3,9,27,81,
170,5,25,125,625,
171,2,6,18,54,
172,4,24,144,864,
173,3,9,27,81,
174,5,36,282,2304,
175,7,61,557,5155,
176,6,36,216,1296,
177,8,167,4025,102918,
178,18,687,27850,1185103,
179,11,216,4440,93112,
180,2,4,8,16,
181,2,10,50,250,
182,4,80,1600,32000,
183,4,16,64,256,
184,6,36,216,1296,
185,12,204,3468,58956,
186,4,28,196,1372,
187,1,2,4,8,
188,3,9,27,81,
189,1,1,1,1,
190,8,140,2780,56900,
191,47,5654,760664,105776768,
192,7,106,1711,27709,
193,5,35,245,1715,
194,1,2,4,8,
195,1,3,9,27,
196,2,6,18,54,
197,2,7,30,142,
198,3,15,75,375,
199,3,15,75,375,
200,4,16,64,256,
201,1,1,1,1,
202,4,36,324,2916,
203,1,1,1,1,
204,1,2,4,8,
205,1,1,1,1,
206,4,32,252,1984,
207,4,16,64,256,
208,18,555,18513,641217,
209,41,2207,120293,6574679,
210,4,24,144,864,
211,7,91,1183,15379,
212,1,3,9,27,
213,2,4,8,16,
214,6,48,384,3072,
215,18,651,24375,948285,
216,15,256,4522,80540,
217,1,1,1,1,
218,5,30,180,1080,
219,1,1,1,1,
220,12,340,10160,304720,
221,3,15,75,375,
222,19,760,33271,1523689,
223,2,6,18,54,
224,15,526,22444,995635,
225,34,1910,116654,7476964,
226,6,53,469,4152,
227,4,16,64,256,
228,5,25,125,625,
229,7,90,1341,20901,
230,1,4,16,64,
231,1,1,1,1,
232,4,16,64,256,
233,1,2,4,8,
234,2,4,8,16,
235,3,9,27,81,
236,6,36,216,1296,
237,31,5467,1256703,309689555,
238,2,4,8,16,
239,6,60,600,6000,
240,5,67,1077,18938,
241,4,16,64,256,
242,2,6,18,54,
243,5,25,125,625,
244,2,8,32,128,
245,1,1,1,1,
246,2,8,32,128,
247,23,1283,75720,4502050,
248,12,461,20177,936444,
249,4,24,144,864,
250,14,196,2744,38416,
251,7,89,1118,14011,
252,12,305,7897,204918,
253,7,119,2023,34391,
254,1,1,1,1,
255,4,34,330,3416,
256,10,143,2114,31417,
257,2,6,18,54,
258,5,55,605,6655,
259,12,228,4332,82308,
260,9,102,1170,13428,
261,17,687,30621,1449306,
262,6,62,714,8756,
263,3,30,300,3000,
264,11,225,5221,132934,
265,2,6,18,54,
266,6,42,294,2058,
267,7,76,829,9043,
268,4,16,64,256,
269,2,6,18,54,
270,3,18,108,648,
271,10,173,3136,58208,
272,1,1,1,1,
273,1,1,1,1,
274,14,590,29610,1664498,
275,3,24,197,1629,
276,9,114,1488,19464,
277,4,19,91,436,
278,3,13,83,653,
279,2,4,8,16,
280,4,32,256,2048,
281,15,503,17103,582007,
282,10,179,3254,59278,
283,27,823,26093,841525,
284,4,16,64,256,
285,8,96,1152,13824,
286,3,9,27,81,
287,3,9,27,81,
288,21,540,13914,358524,
289,2,8,32,128,
290,2,4,8,16,
291,2,8,32,128,
292,3,12,48,192,
293,3,15,75,375,
294,3,12,48,192,
295,6,96,1536,24576,
296,4,79,1702,37453,
297,20,1023,58108,3546115,
298,4,46,656,10650,
299,2,6,18,54,
300,1,2,4,8,
301,9,81,729,6561,
302,4,24,144,864,
303,13,204,3212,50576,
304,15,351,8727,225783,
305,4,32,256,2048,
306,14,210,3150,47250,
307,18,600,20610,712620,
308,4,26,170,1112,
309,2,9,47,257,
310,4,16,64,256,
311,5,33,216,1413,
312,6,97,1616,27082,
313,2,4,8,16,
314,5,50,500,5000,
315,3,9,27,81,
316,6,54,486,4374,
317,4,16,64,256,
318,2,4,8,16,
319,1,3,9,27,
320,27,1287,63567,3193047,
321,9,216,5463,138645,
322,7,93,1382,21605,
323,2,6,18,54,
324,2,4,8,16,
325,5,34,228,1528,
326,6,48,384,3072,
327,6,66,756,8676,
328,1,1,1,1,
329,2,8,32,128,
330,1,2,4,8,
331,4,16,64,256,
332,3,24,225,2163,
333,10,210,4809,112453,
334,2,4,8,16,
335,13,271,5672,118784,
336,9,81,729,6561,
337,1,1,1,1,
338,20,888,44212,2335612,
339,8,96,1152,13824,
340,4,47,850,17078,
341,4,16,64,256,
342,2,6,18,54,
343,2,4,8,16,
344,4,36,324,2916,
345,4,16,64,256,
346,2,12,72,432,
347,7,58,505,4453,
348,1,1,1,1,
349,3,9,27,81,
350,3,19,137,1001,
351,11,275,7400,202312,
352,6,48,384,3072,
353,2,4,8,16,
354,3,9,27,81,
355,1,4,16,64,
356,3,9,27,81,
